id;is_true_false;is_multiple;is_order_by;is_discussion;video_url;image_url;is_active;question;created_by;created_time;score
1;false;true;true;false;compress Division;Moroccan Dirham open-source;false;toolset olive;deposit;2021-08-08T02:54:58;13922
2;true;false;true;false;JSON silver neural;driver Response mint green;false;Books;Ball haptic Tasty;2021-08-07T21:37:35;18950
3;true;true;false;true;gold invoice Minnesota;Frozen Table;false;systemic Chicken;primary Bedfordshire Fantastic Concrete Sausages;2021-08-08T06:09:06;44576
4;false;true;false;true;Optimization Bedfordshire;Rufiyaa Representative focus group;true;Customer Home Loan Account;Borders Rhode Island Soft;2021-08-08T02:53:04;77866
5;false;true;true;false;salmon Bike;override Usability;false;compress;haptic bypassing Designer;2021-08-08T05:41:48;90900
6;true;true;true;true;Garden PCI navigate;Agent open-source;false;grey Antarctica (the territory South of 60 deg S) Sports;Avon encoding;2021-08-08T07:15:29;64491
7;false;false;true;false;Hawaii deposit;Solutions;true;International Shirt;neural;2021-08-08T01:09:45;87637
8;false;true;true;false;Virgin Islands, British IB Handmade Granite Computer;matrix Bedfordshire;true;Refined Steel Ball;systems payment;2021-08-08T00:18:54;68520
9;false;false;true;true;Borders Supervisor;Shores TCP;true;optical;Soap bypassing Administrator;2021-08-07T14:06:44;25544
10;true;true;false;true;Comoro Franc Dynamic;matrix SSL San Marino;false;purple;Research;2021-08-08T00:03:05;28776
