id;is_active;question_set;score;type;question_set_type;number_of_questions;created_by;created_time
1;false;Switzerland Generic Frozen Tuna;83238;Bedfordshire killer;Principal;48408;implement Persevering Towels;2021-08-08T04:56:12
2;true;calculating;14674;Operations Directives Granite;Mission extend;88707;digital Drive;2021-08-07T19:20:48
3;true;interface Direct National;70279;black Fresh;innovative discrete;15715;Home Loan Account;2021-08-08T09:58:28
4;false;Group pixel;42026;Facilitator Internal;Fantastic efficient Mandatory;70979;Pizza invoice District;2021-08-07T19:15:46
5;false;Chief generate withdrawal;22191;initiative lavender;driver Metal;68413;Beauty reintermediate;2021-08-08T07:54:41
6;true;withdrawal lavender Usability;49546;parse Mobility analyzing;sensor;29778;Money Market Account functionalities Borders;2021-08-07T21:30:23
7;true;implementation ROI IB;44309;FTP bypassing;interface orange;14506;deposit;2021-08-08T02:20:01
8;true;programming PNG;24216;Rubber Books North Carolina;Denar Berkshire;94160;wireless Networked Electronics;2021-08-07T14:56:03
9;true;empowering Fresh Turnpike;16146;Gorgeous Uzbekistan plum;mindshare SMTP Jewelery;58528;tan;2021-08-08T09:03:03
10;true;mesh Dynamic Enterprise-wide;50692;SAS Extended Cotton;Branding Rand Loti;72837;Awesome Plastic Table Croatian Kuna Tasty Soft Hat;2021-08-07T14:35:48
